locus_tag,start,end,length,strand,old_locus_tag,ncbi_protein,gene_name,gene_product,Eggnog_description,COG_category,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,ENTRAF_TF,ENTRAF_hmm_acc,ENTRAF_hmm_name,ENTRAF_Ortholog,DeepTFactor_TF,DeepTFactor_score,P2TF_TF,P2TF_class,P2TF_type,P2TF_description
SYNPCC7942_RS03955,756989,757387,399,-,Synpcc7942_0763,WP_081429504.1,,helix-turn-helix domain-containing protein,Cro/C1-type HTH DNA-binding domain,K,,,,,,,,,,,,"HTH_3,HTH_31",False,,,,False,0.4397,True,TR,Xre,"Transcription factor, Xre family contains 1 HTH_XRE"
SYNPCC7942_RS03960,757356,757595,240,-,Synpcc7942_0764,WP_011377714.1,,helix-turn-helix transcriptional regulator,"Transcriptional regulator, XRE family",K,,,ko:K07727,,,,,"ko00000,ko03000",,,,HTH_26,False,,,,True,0.8815,True,TR,Xre,"Transcription factor, Xre family contains 1 HTH_XRE"
SYNPCC7942_RS13695,757687,757905,219,-,,WP_071818112.1,,helix-turn-helix transcriptional regulator,"Transcriptional regulator, XRE family",K,,,ko:K07727,,,,,"ko00000,ko03000",,,,HTH_26,False,,,,True,0.7855,False,,,
SYNPCC7942_RS03965,758049,758327,279,+,,WP_039755818.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0053,False,,,
SYNPCC7942_RS03970,758390,759037,648,+,Synpcc7942_0766,WP_011243082.1,,DNA damage-inducible protein,SOS response,S,,,ko:K14623,,,,,"ko00000,ko03400",,,,,False,,,,False,0.045,False,,,
SYNPCC7942_RS13700,759048,759254,207,+,,WP_039755816.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0364,False,,,
SYNPCC7942_RS03975,759413,759847,435,+,Synpcc7942_0767,WP_011377716.1,,Rho termination factor N-terminal domain-containing protein,,X,,,,,,,,,,,,,False,,,,False,0.0081,False,,,
SYNPCC7942_RS13950,759963,760139,177,+,,WP_155813880.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0027,False,,,
SYNPCC7942_RS13955,760250,760447,198,+,,WP_126146781.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0259,False,,,
SYNPCC7942_RS03985,760486,761178,693,+,Synpcc7942_0768,WP_155813878.1,,Coq4 family protein,PFAM Coenzyme Q (ubiquinone) biosynthesis protein Coq4,H,,,,,,,,,,,,Coq4,False,,,,False,0.007,False,,,
SYNPCC7942_RS03990,761226,762128,903,+,Synpcc7942_0769,WP_011377718.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0125,False,,,
SYNPCC7942_RS03995,762129,763643,1515,+,Synpcc7942_0770,WP_190528586.1,,bifunctional metallophosphatase/5'-nucleotidase,"5'-nucleotidase, C-terminal domain",F,,3.1.3.5,ko:K01081,"ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110",,"R00183,R00511,R00963,R01126,R01227,R01569,R01664,R01968,R02088,R02102,R02323,R02719,R03346",RC00017,"ko00000,ko00001,ko01000",,,,"5_nucleotid_C,EF-hand_5,Metallophos",False,,,,False,0.0049,False,,,
SYNPCC7942_RS04000,763640,764854,1215,-,Synpcc7942_0771,WP_011243077.1,,glutathione S-transferase family protein,Glutathione S-transferase,O,,2.5.1.18,ko:K00799,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418",,"R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905","RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944","ko00000,ko00001,ko01000,ko02000","1.A.12.2.2,1.A.12.3.2",,,"GST_C_2,GST_C_5,GST_N_2,GST_N_3",False,,,,False,0.1023,False,,,
SYNPCC7942_RS04005,764984,765577,594,-,Synpcc7942_0772,WP_011243076.1,cpcT2,chromophore lyase CpcT/CpeT,Covalently attaches a chromophore to Cys residue(s) of phycobiliproteins,H,,,,,,,,,,,,CpeT,False,,,,False,0.0134,False,,,
SYNPCC7942_RS04010,765592,766140,549,-,Synpcc7942_0773,WP_039755814.1,,GNAT family N-acetyltransferase,COG0454 Histone acetyltransferase HPA2 and related acetyltransferases,K,,,,,,,,,,,,"Acetyltransf_1,Acetyltransf_10",False,,,,False,0.0258,False,,,
SYNPCC7942_RS04015,766216,767103,888,+,Synpcc7942_0774,WP_011243074.1,,alpha/beta hydrolase,hydrolases or acyltransferases (alpha beta hydrolase superfamily),I,,4.2.99.20,ko:K08680,"ko00130,ko01100,ko01110,map00130,map01100,map01110",M00116,R08166,"RC02148,RC02475","ko00000,ko00001,ko00002,ko01000",,,,"Abhydrolase_1,Abhydrolase_6",False,,,,False,0.0052,False,,,
SYNPCC7942_RS04020,767242,767721,480,-,Synpcc7942_0775,WP_011243073.1,,divergent PAP2 family protein,protein conserved in bacteria,S,,,ko:K09775,,,,,ko00000,,,,DUF212,False,,,,False,0.0077,False,,,
SYNPCC7942_RS04025,767721,768626,906,-,Synpcc7942_0776,WP_011243072.1,crtE,polyprenyl synthetase family protein,Belongs to the FPP GGPP synthase family,H,,"2.5.1.1,2.5.1.10,2.5.1.29",ko:K13789,"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130","M00364,M00366","R01658,R02003,R02061",RC00279,"ko00000,ko00001,ko00002,ko01000,ko01006",,,,polyprenyl_synt,False,,,,False,0.0037,False,,,
SYNPCC7942_RS04030,768669,769538,870,-,Synpcc7942_0777,WP_011377721.1,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,"Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate",F,"GO:0003674,GO:0003824,GO:0004477,GO:0004488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006730,GO:0008150,GO:0008152,GO:0009987,GO:0016491,GO:0016645,GO:0016646,GO:0016787,GO:0016810,GO:0016814,GO:0019238,GO:0044237,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0055114","1.5.1.5,3.5.4.9",ko:K01491,"ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200","M00140,M00377","R01220,R01655","RC00202,RC00578","ko00000,ko00001,ko00002,ko01000",,,,"THF_DHG_CYH,THF_DHG_CYH_C",False,,,,False,0.0054,False,,,
SYNPCC7942_RS04035,769574,770038,465,+,Synpcc7942_0778,WP_011377722.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0141,False,,,
SYNPCC7942_RS04040,770044,772593,2550,+,Synpcc7942_0779,WP_039756018.1,,HDIG domain-containing protein,membrane-associated HD superfamily hydrolase,S,,,ko:K07037,,,,,ko00000,,,,"7TM-7TMR_HD,7TMR-HDED,HD",False,,,,False,0.0173,False,,,
SYNPCC7942_RS04045,772585,773958,1374,-,Synpcc7942_0780,WP_011377724.1,,serine/threonine protein kinase,Protein tyrosine kinase,KLT,,,,,,,,,,,,Pkinase,False,,,,False,0.0057,False,,,
SYNPCC7942_RS04050,774004,776520,2517,-,Synpcc7942_0781,WP_011377725.1,ppsA,phosphoenolpyruvate synthase,Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate,H,,2.7.9.2,ko:K01007,"ko00620,ko00680,ko00720,ko01100,ko01120,ko01200,map00620,map00680,map00720,map01100,map01120,map01200","M00173,M00374",R00199,"RC00002,RC00015","ko00000,ko00001,ko00002,ko01000",,,,"PEP-utilizers,PEP-utilizers_C,PPDK_N",False,,,,False,0.0075,False,,,
SYNPCC7942_RS04055,776760,778556,1797,-,Synpcc7942_0782,WP_011377726.1,,ABC transporter ATP-binding protein/permease,"ABC-type multidrug transport system, ATPase and permease",V,,,ko:K18890,"ko02010,map02010",M00707,,,"ko00000,ko00001,ko00002,ko02000","3.A.1.106.13,3.A.1.106.5",,,"ABC_membrane,ABC_tran",False,,,,False,0.0072,False,,,
SYNPCC7942_RS04060,778589,779245,657,-,Synpcc7942_0783,WP_011243066.1,hisG,ATP phosphoribosyltransferase,Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity,F,"GO:0000105,GO:0003674,GO:0003824,GO:0003879,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.4.2.17,ko:K00765,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,R01071,"RC02819,RC03200","ko00000,ko00001,ko00002,ko01000",,,,HisG,False,,,,False,0.0085,False,,,
SYNPCC7942_RS13710,779531,779848,318,+,Synpcc7942_0784,WP_011243065.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0129,False,,,
SYNPCC7942_RS04065,779931,781919,1989,+,Synpcc7942_0785,WP_190528583.1,ponA,penicillin-binding protein 1A,Transglycosylase,M,,"2.4.1.129,3.4.16.4",ko:K05366,"ko00550,ko01100,ko01501,map00550,map01100,map01501",,,,"ko00000,ko00001,ko01000,ko01003,ko01011",,GT51,,"Transgly,Transpeptidase",False,,,,False,0.0243,False,,,
SYNPCC7942_RS04070,782076,782942,867,+,Synpcc7942_0786,WP_011377728.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0114,False,,,
SYNPCC7942_RS04075,783007,783885,879,+,Synpcc7942_0787,WP_011243062.1,phoA,metallophosphoesterase,Calcineurin-like phosphoesterase,S,,,,,,,,,,,,Metallophos,False,,,,False,0.0061,False,,,
SYNPCC7942_RS04080,783954,784748,795,-,Synpcc7942_0788,WP_011243061.1,gst1,glutathione S-transferase family protein,Glutathione S-transferase,O,,2.5.1.18,ko:K00799,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418",,"R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905","RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944","ko00000,ko00001,ko01000,ko02000","1.A.12.2.2,1.A.12.3.2",,,"GST_C,GST_C_2,GST_N_3",False,,,,False,0.0514,False,,,
SYNPCC7942_RS04085,784844,785167,324,-,Synpcc7942_0789,WP_011243060.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0067,False,,,
SYNPCC7942_RS04090,785282,785710,429,-,Synpcc7942_0790,WP_011377729.1,rbp3,RNA-binding region RNP-1,RNA-binding,S,,,,,,,,,,,,RRM_1,False,,,,False,0.0149,False,,,
SYNPCC7942_RS04095,785973,787211,1239,-,Synpcc7942_0791,WP_011377730.1,pcnB,CCA tRNA nucleotidyltransferase,tRNA nucleotidyltransferase poly(A) polymerase,H,,"2.7.7.19,2.7.7.72","ko:K00970,ko:K00974","ko03013,ko03018,map03013,map03018",,"R09382,R09383,R09384,R09386",RC00078,"ko00000,ko00001,ko01000,ko03016,ko03019",,,,"PolyA_pol,PolyA_pol_RNAbd,tRNA_NucTran2_2",False,,,,False,0.0096,False,,,
SYNPCC7942_RS04100,787255,788490,1236,-,Synpcc7942_0792,WP_011377731.1,,MFS transporter,COG0477 Permeases of the major facilitator superfamily,EGP,,,,,,,,,,,,MFS_3,False,,,,False,0.0116,False,,,
SYNPCC7942_RS04105,788593,789261,669,-,Synpcc7942_0793,WP_011243056.1,pspA,PspA/IM30 family protein,"Phage shock protein A (IM30), suppresses sigma54-dependent transcription",KT,,,ko:K03969,,,,,ko00000,,,,PspA_IM30,False,,,,False,0.034,False,,,
SYNPCC7942_RS04110,789460,790233,774,-,Synpcc7942_0794,WP_011243055.1,pspA,PspA/IM30 family protein,"Phage shock protein A (IM30), suppresses sigma54-dependent transcription",KT,,,ko:K03969,,,,,ko00000,,,,PspA_IM30,False,,,,False,0.0061,False,,,
SYNPCC7942_RS04115,790436,791047,612,-,Synpcc7942_0795,WP_011243054.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0159,False,,,
SYNPCC7942_RS04120,791175,791720,546,+,Synpcc7942_0796,WP_011377732.1,,DUF721 domain-containing protein,Protein of unknown function (DUF721),S,,,,,,,,,,,,DUF721,False,,,,False,0.2711,False,,,
SYNPCC7942_RS04125,792010,792270,261,+,Synpcc7942_0797,WP_011377733.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0039,False,,,
SYNPCC7942_RS04130,792319,792804,486,-,Synpcc7942_0798,WP_011243052.1,ruvC,crossover junction endodeoxyribonuclease RuvC,Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group,L,"GO:0000725,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008821,GO:0009058,GO:0009059,GO:0009987,GO:0016787,GO:0016788,GO:0016889,GO:0016894,GO:0031297,GO:0032991,GO:0033554,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0045005,GO:0046483,GO:0048476,GO:0050896,GO:0051716,GO:0071704,GO:0071932,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901576",3.1.22.4,ko:K01159,"ko03440,map03440",,,,"ko00000,ko00001,ko01000,ko03400",,,,RuvC,False,,,,False,0.0095,False,,,
SYNPCC7942_RS04135,792810,794384,1575,-,Synpcc7942_0799,WP_039755810.1,,B12-binding domain-containing radical SAM protein,Fe-S oxidoreductase,C,,,,,,,,,,,,Radical_SAM,False,,,,False,0.0208,False,,,
SYNPCC7942_RS04140,794455,795048,594,-,Synpcc7942_0800,WP_011377735.1,cpcT,chromophore lyase CpcT/CpeT,Covalently attaches a chromophore to Cys residue(s) of phycobiliproteins,H,"GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0017006,GO:0017007,GO:0017009,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:1901564",,ko:K05383,"ko00196,ko01100,map00196,map01100",,,,"ko00000,ko00001,ko00194",,,,CpeT,False,,,,False,0.0104,False,,,
SYNPCC7942_RS04145,795207,795812,606,+,Synpcc7942_0801,WP_039755809.1,sodB,superoxide dismutase,radicals which are normally produced within the cells and which are toxic to biological systems,C,,1.15.1.1,ko:K04564,"ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016",,,,"ko00000,ko00001,ko01000",,,,"Sod_Fe_C,Sod_Fe_N",False,,,,False,0.0093,False,,,
SYNPCC7942_RS04150,795917,796504,588,+,Synpcc7942_0802,WP_011377737.1,,allophycocyanin alpha chain-like protein,Phycobilisome protein,C,,,,,,,,,,,,Phycobilisome,False,,,,False,0.0276,False,,,
SYNPCC7942_RS04155,796507,797289,783,-,Synpcc7942_0803,WP_011243047.1,,ABC transporter permease,transport system permease component,S,,,ko:K01992,,M00254,,,"ko00000,ko00002,ko02000",3.A.1,,,ABC2_membrane_6,False,,,,False,0.0065,False,,,
SYNPCC7942_RS04160,797288,798349,1062,+,Synpcc7942_0804,WP_011243046.1,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP),H,,1.1.1.262,ko:K00097,"ko00750,ko01100,map00750,map01100",M00124,"R05681,R05837,R07406","RC00089,RC00675,RC01475","ko00000,ko00001,ko00002,ko01000",,,,PdxA,False,,,,False,0.0138,False,,,
SYNPCC7942_RS04165,798349,799095,747,+,Synpcc7942_0805,WP_011243045.1,,MBL fold metallo-hydrolase,of the beta-lactamase fold,S,,,,,,,,,,,,Lactamase_B_3,False,,,,False,0.0534,False,,,
SYNPCC7942_RS04170,799095,799826,732,+,Synpcc7942_0806,WP_011243044.1,,16S rRNA (uracil(1498)-N(3))-methyltransferase,Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit,J,,2.1.1.193,ko:K09761,,,,,"ko00000,ko01000,ko03009",,,,Methyltrans_RNA,False,,,,False,0.0246,False,,,
SYNPCC7942_RS04175,799840,800679,840,+,Synpcc7942_0807,WP_011243043.1,,Rpn family recombination-promoting nuclease/putative transposase,Protein of unknown function (DUF2887),S,,,,,,,,,,,,"DUF2887,DUF4351",False,,,,True,0.5161,False,,,
SYNPCC7942_RS04180,800851,802980,2130,-,Synpcc7942_0808,WP_011377738.1,sps,HAD-IIB family hydrolase,Sucrose-6F-phosphate phosphohydrolase,M,,"2.4.1.14,3.1.3.24","ko:K00696,ko:K07024","ko00500,ko01100,map00500,map01100",,"R00766,R00805,R06211","RC00005,RC00017,RC00028,RC02748","ko00000,ko00001,ko01000",,GT4,iJN678.slr0953,S6PP,False,,,,False,0.018,False,,,
SYNPCC7942_RS04185,803199,804815,1617,+,Synpcc7942_0809,WP_049749344.1,,glycosyltransferase family 39 protein,Dolichyl-phosphate-mannose-protein mannosyltransferase,M,,,,,,,,,,,,PMT_2,False,,,,False,0.0092,False,,,
SYNPCC7942_RS04190,804853,805086,234,+,Synpcc7942_0810,WP_011377740.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0054,False,,,
SYNPCC7942_RS04195,805186,806769,1584,+,Synpcc7942_0811,WP_011377741.1,,sodium:proton antiporter,Sodium/hydrogen exchanger family,P,"GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006814,GO:0006873,GO:0006885,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015079,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015385,GO:0015386,GO:0015491,GO:0015672,GO:0016020,GO:0019725,GO:0022804,GO:0022821,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0034220,GO:0035725,GO:0042592,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0051453,GO:0055067,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071804,GO:0071805,GO:0071944,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098719,GO:0098739,GO:0098771,GO:0099516,GO:0099587,GO:1902600",,ko:K03316,,,,,ko00000,2.A.36,,,Na_H_Exchanger,False,,,,False,0.0071,False,,,
SYNPCC7942_RS04200,806893,807813,921,+,Synpcc7942_0812,WP_011243039.1,,J domain-containing protein,DnaJ domain,O,,,,,,,,,,,,"DnaJ,TPR_11,TPR_19,TPR_2,TPR_8",False,,,,False,0.009,False,,,
SYNPCC7942_RS04205,807839,809101,1263,+,Synpcc7942_0813,WP_011243038.1,hisZ,ATP phosphoribosyltransferase regulatory subunit,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,E,,,ko:K02502,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,R01071,"RC02819,RC03200","ko00000,ko00001,ko00002",,,,tRNA-synt_His,False,,,,False,0.0075,False,,,
SYNPCC7942_RS04210,809134,809358,225,+,Synpcc7942_0814,WP_011243037.1,,ferredoxin family protein,Ferredoxin,C,,,,,,,,,,,,"Fer4,Fer4_10,Fer4_2,Fer4_7",False,,,,False,0.0058,False,,,
SYNPCC7942_RS04215,809365,810096,732,+,Synpcc7942_0815,WP_011243036.1,,ABC transporter ATP-binding protein,ABC transporter,E,,,"ko:K01996,ko:K11958","ko02010,ko02024,map02010,map02024","M00237,M00322",,,"ko00000,ko00001,ko00002,ko02000","3.A.1.4,3.A.1.4.2,3.A.1.4.6",,,ABC_tran,False,,,,False,0.0097,False,,,
SYNPCC7942_RS04220,810181,812226,2046,-,Synpcc7942_0816,WP_011377742.1,,EAL domain-containing protein,diguanylate cyclase (GGDEF) domain,T,,,,,,,,,,,,"EAL,GGDEF,PAS_3,PAS_9",False,,,,False,0.0135,False,,,
SYNPCC7942_RS04225,812331,812723,393,-,Synpcc7942_0817,WP_011243034.1,,transcriptional repressor,Belongs to the Fur family,P,,,ko:K03711,,,,,"ko00000,ko03000",,,,FUR,True,PF01475.18,FUR,ZUR_MYCTU,False,0.3816,True,TR,Fur,"Transcription factor, Fur family contains 1 FUR"
SYNPCC7942_RS04230,812955,813224,270,+,Synpcc7942_0818,WP_011377743.1,purS,phosphoribosylformylglycinamidine synthase subunit PurS,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,F,,6.3.5.3,ko:K01952,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",M00048,R04463,"RC00010,RC01160","ko00000,ko00001,ko00002,ko01000",,,,PurS,False,,,,False,0.0262,False,,,
SYNPCC7942_RS04235,813221,813886,666,+,Synpcc7942_0819,WP_011243032.1,purQ,phosphoribosylformylglycinamidine synthase subunit PurQ,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,F,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",6.3.5.3,ko:K01952,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",M00048,R04463,"RC00010,RC01160","ko00000,ko00001,ko00002,ko01000",,,,GATase_5,False,,,,False,0.009,False,,,
SYNPCC7942_RS04240,813960,814394,435,+,Synpcc7942_0820,WP_011377744.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0084,False,,,
SYNPCC7942_RS04245,814476,816077,1602,+,Synpcc7942_0821,WP_011243030.1,ddpA,ABC transporter substrate-binding protein,"ABC-type dipeptide transport system, periplasmic component",E,,,ko:K02035,"ko02024,map02024",M00239,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,,,SBP_bac_5,False,,,,False,0.0047,False,,,
SYNPCC7942_RS04250,816064,817089,1026,+,Synpcc7942_0822,WP_011243029.1,dppB,ABC transporter permease,"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",P,,,ko:K02033,"ko02024,map02024",M00239,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,,,BPD_transp_1,False,,,,False,0.0069,False,,,
SYNPCC7942_RS04255,817171,818214,1044,+,Synpcc7942_0823,WP_011243028.1,,AI-2E family transporter,Permease,S,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008150,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944",,,,,,,,,,,AI-2E_transport,False,,,,False,0.0052,False,,,
SYNPCC7942_RS04260,818189,819895,1707,+,Synpcc7942_0824,WP_011377746.1,,phosphatidylglycerol lysyltransferase domain-containing protein,conserved protein (DUF2156),S,,2.3.2.3,"ko:K07027,ko:K14205","ko01503,ko02020,ko05150,map01503,map02020,map05150",M00726,,,"ko00000,ko00001,ko00002,ko01000,ko01504,ko02000","2.A.1.3.37,4.D.2",,,"DUF2156,tRNA-synt_2_TM",False,,,,False,0.0082,False,,,
SYNPCC7942_RS04265,819956,820693,738,-,Synpcc7942_0825,WP_011243026.1,,C40 family peptidase,COG0791 Cell wall-associated hydrolases (invasion-associated proteins),M,,,,,,,,,,,,NLPC_P60,False,,,,False,0.0179,False,,,
SYNPCC7942_RS04270,820693,821628,936,+,Synpcc7942_0826,WP_011243025.1,,serine hydrolase,Beta-lactamase enzyme family,V,,,,,,,,,,,,Beta-lactamase2,False,,,,False,0.0225,False,,,
SYNPCC7942_RS04275,821757,822803,1047,-,Synpcc7942_0827,WP_011377748.1,cobW,cobalamin biosynthesis protein CobW,cobalamin biosynthesis protein CobW,S,,,ko:K02234,,,,,"ko00000,ko00001",,,,"CobW_C,cobW",False,,,,False,0.0067,False,,,
SYNPCC7942_RS04280,822873,823241,369,-,Synpcc7942_0828,WP_011243023.1,,DUF2237 domain-containing protein,protein conserved in bacteria,S,,,ko:K09966,,,,,ko00000,,,,DUF2237,False,,,,False,0.0072,False,,,
SYNPCC7942_RS04285,823506,823838,333,+,Synpcc7942_0829,WP_011377749.1,rlpA,septal ring lytic transglycosylase RlpA family protein,peptidoglycan binding,M,,,ko:K03642,,,,,ko00000,,,,"DPBB_1,SPOR",False,,,,False,0.0081,False,,,
SYNPCC7942_RS04290,823942,825330,1389,+,Synpcc7942_0830,WP_011377750.1,asnS,asparagine--tRNA ligase,"tRNA synthetases class II (D, K and N)",J,,6.1.1.22,ko:K01893,"ko00970,map00970","M00359,M00360",R03648,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",,,,"tRNA-synt_2,tRNA_anti-codon",False,,,,False,0.0126,False,,,
SYNPCC7942_RS04295,825403,826005,603,-,Synpcc7942_0831,WP_011377751.1,,HD domain-containing protein,COG0317 Guanosine polyphosphate pyrophosphohydrolases synthetases,KT,,2.7.6.5,ko:K00951,"ko00230,map00230",,R00429,"RC00002,RC00078","ko00000,ko00001,ko01000",,,,HD_4,False,,,,False,0.0061,False,,,
